Latitude,Longitude,city,country,Temperature,Humidity,Cloudiness,Wind Speed
-36.56350755087967,23.07241343820587,knysna,za,291.391,100,76,8.71
44.481608776225954,85.9436407823352,shihezi,cn,294.391,30,0,2.51
7.640272449327725,45.103456523397085,odweyne,so,297.991,49,0,6.71
-59.02294200001892,41.5050578272824,port alfred,za,273.691,96,88,16.16
14.288385335944994,-83.33049404852096,puerto cabezas,ni,301.441,78,88,4.06
-11.981521438050592,-69.55102121478986,iberia,pe,294.591,97,64,1.06
-84.39351348267931,-38.3850556953719,ushuaia,ar,243.041,51,24,9.66
8.42198339568391,-39.69204647854016,acarau,br,298.741,100,88,7.71
-47.426501045230275,-92.27721049338014,castro,cl,280.141,100,32,0.86
76.42149367429519,163.61027544512348,cherskiy,ru,272.141,100,12,4.26
-60.50700156122258,75.81732019205916,souillac,mu,267.841,100,44,4.81
-30.117265335332988,17.00259120591241,springbok,za,288.341,100,20,4.06
18.940336533078323,144.47591091805361,airai,pw,301.991,100,32,7.01
-26.94718289477956,113.25158672669488,carnarvon,au,293.741,100,32,8.51
-43.067173338903196,127.64001960355841,esperance,au,284.441,99,0,6.61
62.76008510618141,25.17020868025341,aanekoski,fi,285.15,58,0,4.6
-83.02939977893581,-10.580142907591238,hermanus,za,238.791,37,36,5.86
-78.70519381048396,113.25372056734426,albany,au,214.941,0,0,7.66
15.188622331087004,127.93460049071291,cabatuan,ph,303.441,98,80,6.01
7.12835177878442,5.376435633664954,owo,ng,297.141,92,92,2.21
-70.7810328159693,157.40046632482887,bluff,nz,234.091,0,0,1.41
-82.93446529222616,-43.9509460520666,ushuaia,ar,253.241,60,48,3.36
70.09507391358781,95.67562555625557,khatanga,ru,276.391,89,56,1.16
-11.736858012518837,148.98393293134933,samarai,pg,300.191,98,76,9.41
-3.841183763011273,138.74436831158005,vanimo,pg,292.141,91,88,1.16
19.33076173742539,-91.82861299527613,isla aguada,mx,301.291,100,0,6.01
86.03053123247358,-104.87964751883307,yellowknife,ca,264.641,87,0,3.31
-14.973071270940196,80.31454543762976,hithadhoo,mv,299.191,100,92,11.01
75.302809626895,0.8072769054693651,barentsburg,sj,275.041,99,0,5.81
30.3167312949941,37.77186527324159,bayir,jo,293.341,62,0,4.46
-59.39678844391136,-92.76796503113063,punta arenas,cl,276.641,93,88,15.91
73.37095682427739,162.8245867367516,cherskiy,ru,273.441,99,88,6.71
-82.215356566321,-166.7125371168101,mataura,pf,236.791,0,0,7.16
76.37249618207309,70.98893764163421,yar-sale,ru,272.141,100,92,6.06
62.04109596352359,90.04587274643023,teya,ru,281.991,78,92,6.56
-52.32925090636102,-27.449278233579065,cidreira,br,274.941,100,92,11.01
52.5780279085395,-149.39579684675044,kodiak,us,280.341,95,92,6.16
-7.719491706209041,-173.72189276968228,sataua,ws,300.291,100,68,5.41
47.910944291013635,61.97861140473279,kazalinsk,kz,283.741,37,0,5.36
-53.10598727570607,-147.40937293451992,mataura,pf,281.541,100,88,8.61
-88.65348981311773,174.15175703511966,bluff,nz,223.191,0,12,5.41
69.60025994195993,-85.5821834032497,attawapiskat,ca,268.591,89,88,2.56
-4.813193863391675,-126.90746277774511,atuona,pf,299.941,99,0,8.61
68.1914570754457,130.23382213615008,batagay-alyta,ru,275.541,75,88,1.81
33.22142754483703,-172.31077444436195,kapaa,us,292.841,98,0,5.61
33.66818385737855,44.19657868682782,balad,iq,301.15,37,75,5.1
-26.065048668437953,-16.426812535978968,jamestown,sh,294.541,100,92,9.01
-42.882553752316255,157.2011314740539,hobart,au,284.541,100,92,6.61
10.7007995265935,138.74457211162655,airai,pw,301.991,100,92,9.16
57.29277320809476,8.642341262303091,hanstholm,dk,289.241,82,0,4.51
57.33133543321688,-14.705457395090292,westport,ie,283.791,100,88,3.31
10.46622751398985,-105.69735088377875,ixtapa,mx,301.141,100,88,4.51
-7.9179073342196205,-138.25885681733638,atuona,pf,300.041,100,76,6.56
75.07469288223274,-67.64366417352224,narsaq,gl,271.241,95,76,4.66
-64.53178015694822,165.88977545852106,bluff,nz,267.491,90,0,17.51
31.020093880516725,-27.13425189320293,ponta delgada,pt,291.741,100,88,2.46
69.79712994927277,-175.35649016377832,mys shmidta,ru,272.991,100,0,4.66
-19.582602422178695,62.17388947740781,grand river south east,mu,297.741,100,0,5.41
47.74735052942009,-101.70980482797967,minot,us,291.46,82,88,1.5
-39.49392631242922,-53.019262636009756,mar del plata,ar,290.741,100,92,9.21
46.33910755452095,1.4299256472831985,gueret,fr,286.14,100,90,1
-28.380751158557445,-178.96922655824184,vaini,to,292.491,100,36,4.91
70.02624839129396,107.95904562600026,aykhal,ru,276.941,85,32,3.86
32.83044680907827,-78.33871279090788,myrtle beach,us,297.941,99,88,8.51
27.118172190248558,-132.7241143079349,lompoc,us,292.891,100,64,9.51
65.43613072465897,-104.37517449928615,la ronge,ca,270.941,94,64,5.36
-60.607582179536706,-78.83268434649762,punta arenas,cl,276.441,100,92,15.71
-85.7315421195752,27.999314720084243,bredasdorp,za,229.891,0,20,4.46
21.772888252879156,-90.12884780951008,progreso,mx,300.691,96,0,7.21
-40.85402205274824,-81.21845070106869,ancud,cl,284.641,100,56,8.81
